time,r_LVLH_C_x,r_LVLH_C_y,r_LVLH_C_z,roll,pitch,yaw
42.88,0.7838916638715068,-0.01383019290395586,0.0,29.999999999999996,20.0,10.0
42.89,0.7837254772300674,-0.013825326963802053,0.0,29.999999999999996,20.0,10.0
42.9,0.783559290999744,-0.013820457263180583,0.0,29.999999999999996,20.0,10.0
42.910000000000004,0.7833931051805574,-0.013815583802100748,0.0,29.999999999999996,20.0,10.0
42.92,0.7832269197725293,-0.013810706580571857,0.0,29.999999999999996,20.0,10.0
42.93,0.783060734775681,-0.01380582559860321,0.0,29.999999999999996,20.0,10.0
42.94,0.7828945501900336,-0.013800940856204109,0.0,29.999999999999996,20.0,10.0
42.95,0.7827283660156084,-0.013796052353383862,0.0,29.999999999999996,20.0,10.0
42.96,0.7825621822524265,-0.013791160090151773,0.0,29.999999999999996,20.0,10.0
42.97,0.7823959989005096,-0.013786264066517149,0.0,29.999999999999996,20.0,10.0
42.980000000000004,0.7822298159598786,-0.013781364282489291,0.0,29.999999999999996,20.0,10.0
42.99,0.7820636334305548,-0.013776460738077511,0.0,29.999999999999996,20.0,10.0
43.0,0.7818974513125597,-0.013771553433291117,0.0,29.999999999999996,20.0,10.0
43.01,0.7817312696059143,-0.01376664236813941,0.0,29.999999999999996,20.0,10.0
43.02,0.7815650883106401,-0.0137617275426317,0.0,29.999999999999996,20.0,10.0
43.03,0.7813989074267582,-0.013756808956777297,0.0,29.999999999999996,20.0,10.0
43.04,0.7812327269542901,-0.01375188661058551,0.0,29.999999999999996,20.0,10.0
43.050000000000004,0.7810665468932567,-0.013746960504065646,0.0,29.999999999999996,20.0,10.0
43.06,0.7809003672436796,-0.013742030637227015,0.0,29.999999999999996,20.0,10.0
43.07,0.78073418800558,-0.013737097010078933,0.0,29.999999999999996,20.0,10.0
43.08,0.7805680091789792,-0.013732159622630705,0.0,29.999999999999996,20.0,10.0
43.09,0.7804018307638982,-0.013727218474891638,0.0,29.999999999999996,20.0,10.0
43.1,0.7802356527603587,-0.013722273566871052,0.0,29.999999999999996,20.0,10.0
43.11,0.7800694751683815,-0.013717324898578258,0.0,29.999999999999996,20.0,10.0
43.12,0.7799032979879884,-0.01371237247002257,0.0,29.999999999999996,20.0,10.0
43.13,0.7797371212192,-0.01370741628121329,0.0,29.999999999999996,20.0,10.0
43.14,0.7795709448620384,-0.013702456332159746,0.0,29.999999999999996,20.0,10.0
43.15,0.7794047689165241,-0.013697492622871245,0.0,29.999999999999996,20.0,10.0
43.160000000000004,0.7792385933826788,-0.013692525153357098,0.0,29.999999999999996,20.0,10.0
43.17,0.7790724182605236,-0.013687553923626632,0.0,29.999999999999996,20.0,10.0
43.18,0.77890624355008,-0.01368257893368915,0.0,29.999999999999996,20.0,10.0
43.19,0.7787400692513691,-0.013677600183553976,0.0,29.999999999999996,20.0,10.0
43.2,0.7785738953644119,-0.013672617673230417,0.0,29.999999999999996,20.0,10.0
43.21,0.7784077218892302,-0.013667631402727804,0.0,29.999999999999996,20.0,10.0
43.22,0.778241548825845,-0.013662641372055445,0.0,29.999999999999996,20.0,10.0
43.230000000000004,0.7780753761742775,-0.013657647581222657,0.0,29.999999999999996,20.0,10.0
43.24,0.7779092039345492,-0.013652650030238765,0.0,29.999999999999996,20.0,10.0
43.25,0.777743032106681,-0.013647648719113085,0.0,29.999999999999996,20.0,10.0
43.26,0.7775768606906948,-0.013642643647854938,0.0,29.999999999999996,20.0,10.0
43.27,0.7774106896866111,-0.013637634816473633,0.0,29.999999999999996,20.0,10.0
43.28,0.7772445190944517,-0.013632622224978507,0.0,29.999999999999996,20.0,10.0
43.29,0.7770783489142377,-0.01362760587337887,0.0,29.999999999999996,20.0,10.0
43.300000000000004,0.7769121791459903,-0.013622585761684045,0.0,29.999999999999996,20.0,10.0
43.31,0.7767460097897309,-0.013617561889903358,0.0,29.999999999999996,20.0,10.0
43.32,0.7765798408454807,-0.013612534258046127,0.0,29.999999999999996,20.0,10.0
43.33,0.7764136723132611,-0.01360750286612168,0.0,29.999999999999996,20.0,10.0
43.34,0.7762475041930931,-0.01360246771413933,0.0,29.999999999999996,20.0,10.0
43.35,0.7760813364849981,-0.013597428802108411,0.0,29.999999999999996,20.0,10.0
43.36,0.7759151691889976,-0.013592386130038246,0.0,29.999999999999996,20.0,10.0
43.37,0.7757490023051126,-0.013587339697938152,0.0,29.999999999999996,20.0,10.0
43.38,0.7755828358333645,-0.01358228950581746,0.0,29.999999999999996,20.0,10.0
43.39,0.7754166697737743,-0.013577235553685497,0.0,29.999999999999996,20.0,10.0
43.4,0.7752505041263638,-0.013572177841551587,0.0,29.999999999999996,20.0,10.0
43.410000000000004,0.7750843388911536,-0.013567116369425054,0.0,29.999999999999996,20.0,10.0
43.42,0.7749181740681654,-0.013562051137315229,0.0,29.999999999999996,20.0,10.0
43.43,0.7747520096574205,-0.013556982145231442,0.0,29.999999999999996,20.0,10.0
43.44,0.7745858456589401,-0.013551909393183015,0.0,29.999999999999996,20.0,10.0
43.45,0.7744196820727451,-0.013546832881179277,0.0,29.999999999999996,20.0,10.0
43.46,0.7742535188988574,-0.01354175260922956,0.0,29.999999999999996,20.0,10.0
43.47,0.7740873561372978,-0.013536668577343196,0.0,29.999999999999996,20.0,10.0
43.480000000000004,0.7739211937880879,-0.013531580785529507,0.0,29.999999999999996,20.0,10.0
43.49,0.7737550318512487,-0.01352648923379783,0.0,29.999999999999996,20.0,10.0
43.5,0.7735888703268017,-0.013521393922157496,0.0,29.999999999999996,20.0,10.0
43.51,0.7734227092147679,-0.013516294850617833,0.0,29.999999999999996,20.0,10.0
